ObjectID,GlobalID,Transect Meter Mark,Direction To Group,Distance To Group,Number Seedlings In Group,Number Vegetative In Group,Number Reproductive In Group,siteName,distBetweenTransects,eventDate,recordedBy,transectNumber_,transectOrientation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
73,d33223ec-ff6b-4806-8f98-b621885df6fd,34.14,-,0.94,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284505,38.6702986666667
74,a3ab0dbf-15d8-4aff-b5de-e1b6c53c5382,34.46,-,0.86,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328450666667,38.6702985
75,d6eb7f10-a641-4a82-b998-bdb2c8b9ef4d,34.9,-,0.26,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284605,38.6703068333333
76,6cbbbbe7-ab20-45b1-9653-609ef561bee6,35.83,+,0.4,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284695,38.6703136666667
77,8200fc04-6984-45d4-bcfa-a89814f64708,37.02,-,0.12,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328462333333,38.670311
78,349b8a6f-8d0b-41e5-bc10-de9b112db1bd,31.17,+,0.09,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328463666667,38.6703148333333
79,ae15e892-fc88-4eb6-a16a-b2c96a78d08f,31.12,+,0.26,,,2,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3284585,38.6703151666667
80,0e8bb903-9667-4b96-ac43-1b1a0d695add,37.93,-,0.05,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328459333333,38.6703161666667
81,82d2fdaf-d267-488c-93ae-2986a65523b7,38.2,-,1.72,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328466166667,38.670323
82,13bde390-f347-4b94-8f8f-fb4efe664362,38.55,+,0.44,,4,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328495833333,38.6703303333333
83,2d8caf65-697a-4691-a4f7-fafff161cc32,42.43,-,0.12,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328496166667,38.6703293333333
84,81a140ad-26df-4a0b-ba7e-cd2c8bdeedd1,42.65,-,0.41,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328529833333,38.6703346666667
85,e73e396c-e9cd-4832-b23e-2e63c7faa452,42.31,+,0.2,,4,5,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3285215,38.670325
86,f2cc0a68-ef3d-4b7a-af3d-493d6744cd37,42.85,-,1.83,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328542166667,38.6703196666667
87,416a8736-5309-4e03-ae05-7b668bb84d2b,43.2,-,0.6,,,2,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328551,38.6703348333333
88,5c349c5a-3304-40f5-ba95-8a021d9b845f,43.82,-,0.2,,,2,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3285575,38.6703313333333
89,932f798b-76d6-4a7e-aad0-d25f689f2570,43.75,+,0.85,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328560833333,38.6703315
90,68e48d5b-ed3e-4d7d-a0bb-f709ad82f00b,44.22,+,0.12,,4,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3285445,38.6703376666667
91,4045f3fc-505c-466a-a9ed-179e9a2405e9,44.1,+,0.34,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328536,38.670335
92,cf1d2848-bbe1-47d6-84be-11782185af92,44.5,+,0.04,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328539166667,38.6703323333333
